"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-APC-A :: OVA-Tet","Comp-APC-Fire 750-A :: CD3","Comp-APC-Fire 810-A :: CD4","Comp-Alexa Fluor 488-A :: TCF1","Comp-Alexa Fluor 532-A :: CD8","Comp-Alexa Fluor 700-A :: CD101","Comp-BV421-A :: Tbet","Comp-BV510-A :: CD62L","Comp-BV570-A :: CD44","Comp-BV605-A :: CD45.1","Comp-BV650-A :: CX3CR1","Comp-BV711-A :: CD45.2","Comp-BV785-A :: CD69","Comp-CellTrace Violet-A :: CTV","Comp-PE-A :: Ly108","Comp-PE-Cy7-A :: EOMES","Comp-PE-Dazzle594-A :: PD1","Comp-PerCP-eFluor 710-A :: TIM3","Comp-Zombie NIR-A :: Viability","Time"
499,372,197,94,49,33,219,75,184,620,445,252,541,532,556,331,294,631,333,316,681,517,659,245,386,383,320,237,3
412,337,179,106,62,53,170,98,159,618,445,285,309,524,418,278,348,672,341,329,638,279,288,385,331,285,291,234,10
338,267,186,105,65,55,174,95,161,576,408,320,575,574,451,330,287,645,402,303,588,278,294,644,368,532,340,260,25
523,412,186,109,61,47,190,95,169,279,401,243,531,373,463,226,286,590,449,278,728,287,269,653,344,308,305,200,25
550,390,207,208,122,92,195,174,175,679,528,287,646,649,293,535,305,716,414,268,657,226,316,673,367,645,439,256,39
560,446,184,140,81,64,186,123,167,720,449,371,561,631,470,289,402,698,435,346,611,258,316,687,386,598,307,300,55
556,444,183,105,67,56,175,93,164,282,406,286,519,413,386,264,353,603,386,299,704,420,273,640,383,342,327,228,61
551,402,201,133,77,57,200,110,177,656,512,284,397,573,431,295,463,692,328,287,617,270,282,623,333,528,360,273,101
522,413,185,131,71,57,182,114,168,612,492,270,371,544,362,296,381,666,414,293,648,312,309,557,307,488,321,286,103
576,454,186,120,70,55,187,101,174,659,418,382,344,557,440,279,357,704,406,467,576,284,290,622,315,599,216,303,132
510,412,181,133,77,62,183,118,166,661,415,311,308,600,438,274,371,679,452,332,635,262,291,649,299,569,277,276,140
560,459,179,122,61,50,179,108,166,651,533,323,296,578,407,286,385,710,444,347,609,277,284,648,342,536,360,269,143
420,318,194,148,80,64,185,126,172,615,506,351,695,606,429,515,335,688,447,309,660,254,269,636,403,609,338,260,146
591,472,183,134,79,61,190,112,174,666,498,320,335,543,425,274,363,667,440,454,644,265,287,639,335,574,332,281,146
387,323,176,114,64,53,175,101,166,673,405,344,554,550,426,330,336,689,440,344,586,270,282,657,366,595,294,293,154
434,357,178,115,68,59,168,103,164,556,396,293,234,534,442,270,603,685,417,264,665,272,727,456,322,279,274,267,160
