"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-APC-A :: OVA-Tet","Comp-APC-Fire 750-A :: CD3","Comp-APC-Fire 810-A :: CD4","Comp-Alexa Fluor 488-A :: TCF1","Comp-Alexa Fluor 532-A :: CD8","Comp-Alexa Fluor 700-A :: CD101","Comp-BV421-A :: Tbet","Comp-BV510-A :: CD62L","Comp-BV570-A :: CD44","Comp-BV605-A :: CD45.1","Comp-BV650-A :: CX3CR1","Comp-BV711-A :: CD45.2","Comp-BV785-A :: CD69","Comp-CellTrace Violet-A :: CTV","Comp-PE-A :: Ly108","Comp-PE-Cy7-A :: EOMES","Comp-PE-Dazzle594-A :: PD1","Comp-PerCP-eFluor 710-A :: TIM3","Comp-Zombie NIR-A :: Viability","Time"
225,177,186,56,27,22,179,51,161,592,604,313,536,491,516,239,255,581,383,641,699,234,310,626,373,531,369,376,3
823,577,209,171,79,57,204,138,181,674,491,415,409,597,489,291,355,717,508,329,658,265,282,706,384,670,472,247,3
347,258,197,169,98,75,192,145,171,672,583,363,766,626,486,548,326,706,435,303,699,206,270,696,442,591,380,256,5
714,519,202,202,120,91,193,165,179,645,537,400,430,628,342,257,366,713,526,295,669,231,314,648,361,622,576,273,5
419,298,206,168,97,68,210,135,182,663,565,360,725,611,448,567,318,667,496,293,681,239,289,675,496,611,413,241,7
421,330,187,97,51,39,193,82,172,650,492,399,518,557,483,351,332,703,466,292,580,322,294,600,380,583,310,238,7
405,288,206,221,112,75,220,171,189,656,594,232,765,630,488,513,285,691,458,318,737,190,285,687,462,613,360,214,12
426,358,174,115,65,56,171,106,158,602,565,345,686,612,455,431,379,679,456,260,698,240,317,677,393,552,293,205,19
651,447,213,176,95,71,196,146,176,700,522,358,397,647,489,289,326,690,492,320,654,272,311,685,376,646,379,265,20
418,311,197,150,75,55,199,125,177,629,501,288,591,658,495,339,524,725,473,326,682,405,628,719,430,479,264,267,23
394,281,206,123,72,53,198,103,175,686,465,403,580,593,473,358,470,667,488,277,601,247,343,665,401,638,276,263,27
498,335,218,175,97,69,207,141,181,627,519,419,586,602,437,294,330,666,507,318,673,262,296,653,386,628,508,280,31
500,419,175,125,72,62,171,112,163,716,437,364,422,615,479,277,339,681,442,532,641,293,287,644,308,574,302,271,33
487,384,186,83,50,42,174,73,166,629,460,397,514,565,441,281,319,652,498,455,582,272,288,607,323,587,379,270,37
