"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-APC-A :: OVA-Tet","Comp-APC-Fire 750-A :: CD3","Comp-APC-Fire 810-A :: CD4","Comp-Alexa Fluor 488-A :: TCF1","Comp-Alexa Fluor 532-A :: CD8","Comp-Alexa Fluor 700-A :: CD101","Comp-BV421-A :: Tbet","Comp-BV510-A :: CD62L","Comp-BV570-A :: CD44","Comp-BV605-A :: CD45.1","Comp-BV650-A :: CX3CR1","Comp-BV711-A :: CD45.2","Comp-BV785-A :: CD69","Comp-CellTrace Violet-A :: CTV","Comp-PE-A :: Ly108","Comp-PE-Cy7-A :: EOMES","Comp-PE-Dazzle594-A :: PD1","Comp-PerCP-eFluor 710-A :: TIM3","Comp-Zombie NIR-A :: Viability","Time"
447,384,170,99,59,48,181,87,165,627,455,254,615,601,516,293,282,663,394,377,702,549,692,573,422,398,317,208,15
505,377,196,118,57,39,217,95,181,624,428,233,595,553,487,348,299,659,339,263,679,491,750,539,404,366,319,236,28
729,511,209,191,116,79,217,139,200,689,485,233,621,621,501,308,289,728,366,349,661,277,326,711,387,624,351,225,39
647,444,214,174,100,60,244,118,215,697,444,237,617,618,510,375,289,749,379,301,647,216,307,693,415,636,282,243,63
563,468,176,180,133,98,197,144,182,535,512,262,229,566,546,262,562,717,424,335,712,553,781,304,333,585,294,266,74
480,383,184,150,87,60,213,119,184,620,413,238,586,512,449,348,412,666,340,297,607,235,279,640,399,561,273,248,88
544,410,194,147,82,61,197,120,180,563,456,233,397,531,535,297,338,641,312,301,677,613,555,349,372,419,293,230,89
476,364,192,140,79,59,197,111,184,621,495,237,594,551,549,360,508,639,334,376,721,633,785,339,426,505,303,191,99
520,432,176,112,64,49,190,95,173,627,453,254,612,606,499,352,569,599,315,334,688,549,765,540,432,412,328,226,126
732,561,191,171,102,67,222,134,188,609,443,259,671,595,508,475,281,699,418,529,665,257,289,676,480,649,367,262,129
459,358,188,143,84,63,196,114,184,607,489,227,614,596,570,368,344,682,261,350,741,591,710,455,421,354,325,205,142
410,317,189,136,68,49,203,111,179,601,456,235,594,536,514,345,398,618,314,319,691,480,683,568,407,473,280,197,147
492,411,175,104,55,46,174,93,163,374,438,252,594,455,533,361,357,642,308,284,690,586,703,393,360,320,294,202,150
330,255,189,163,89,60,217,128,186,588,510,228,577,428,551,428,384,658,313,298,702,476,808,496,356,372,278,215,161
339,255,195,196,127,72,258,141,204,635,480,209,574,584,562,423,298,692,309,316,712,540,697,297,411,482,344,183,166
401,302,195,128,76,51,215,96,195,650,483,262,609,558,557,347,589,674,382,299,704,618,833,603,469,542,333,180,166
524,410,187,120,69,47,218,90,193,548,477,272,614,385,550,427,334,674,330,280,703,593,744,477,391,442,288,231,168
441,365,177,124,59,49,178,109,165,649,440,256,605,559,538,401,298,626,276,387,712,616,742,452,402,353,278,229,202
543,432,184,191,118,105,165,171,164,659,551,283,662,568,481,477,585,699,306,296,678,584,839,398,443,330,351,266,216
508,417,178,207,221,176,184,174,173,666,520,285,528,574,510,340,292,667,312,521,621,236,306,603,346,603,336,340,221
286,224,187,108,56,45,183,92,172,571,588,182,648,511,491,477,264,602,275,340,688,183,282,570,408,473,341,425,226
522,412,185,146,108,86,185,123,174,623,542,266,631,529,518,457,304,695,337,316,661,249,312,618,440,555,327,252,240
335,285,172,92,58,50,171,82,164,534,559,279,579,449,516,300,266,626,263,431,686,234,267,592,385,392,316,225,256
328,270,178,82,40,33,177,74,163,455,538,249,462,420,506,307,273,596,316,483,681,249,278,526,333,427,328,501,267
559,458,179,147,87,58,218,116,185,617,505,223,699,499,536,452,374,677,314,364,709,579,740,530,422,509,278,243,267
514,426,177,121,76,53,210,98,181,664,397,252,558,531,455,350,279,685,312,561,613,257,295,579,364,544,254,297,275
362,287,185,154,83,63,193,123,182,661,520,199,588,554,573,448,415,713,270,348,735,662,755,354,458,430,347,181,298
485,371,192,159,105,76,202,123,188,636,474,272,650,582,510,397,398,666,372,355,687,578,746,635,479,446,318,268,317
670,509,193,209,134,113,172,182,168,724,499,231,339,666,590,281,363,681,265,440,725,603,785,196,356,470,294,212,335
428,319,197,145,86,59,212,117,182,621,497,261,624,585,582,348,290,610,265,340,690,598,774,382,468,334,360,192,367
478,324,216,140,75,44,249,97,211,655,423,225,616,608,516,429,285,677,340,308,691,614,729,212,441,360,284,230,376
420,359,172,119,85,82,152,113,154,610,405,287,605,544,405,296,433,678,306,320,555,279,302,668,357,497,336,330,379
281,219,189,179,109,88,181,155,169,612,505,252,683,550,425,599,270,678,275,400,667,214,293,625,444,553,342,282,383
496,354,205,148,80,57,205,115,187,607,498,230,643,571,551,408,283,701,366,343,710,568,732,543,442,353,294,197,403
479,360,195,176,112,93,175,151,171,630,505,186,598,574,546,390,416,622,309,351,716,597,753,528,447,436,324,195,410
412,371,163,129,85,64,196,109,172,609,453,264,640,487,540,345,548,644,388,403,717,577,702,271,417,344,273,230,419
557,405,201,132,63,44,212,104,186,642,407,285,572,606,518,374,304,651,275,334,689,487,715,413,418,480,283,213,420
388,296,192,134,101,78,190,106,185,643,426,250,564,601,509,380,417,641,347,356,694,552,753,607,427,428,293,268,452
378,308,180,188,167,134,183,156,176,595,486,236,623,532,562,421,411,654,289,362,704,522,787,571,399,408,330,241,453
460,388,174,144,72,65,162,134,157,577,442,215,625,554,598,341,454,639,304,311,676,585,768,527,419,335,268,198,454
636,499,187,130,65,49,194,109,175,676,439,258,611,610,482,345,284,721,319,306,613,281,294,688,397,605,281,269,466
740,564,192,169,120,72,244,115,215,671,470,301,754,628,433,547,314,724,428,317,595,246,286,668,494,599,300,298,475
359,299,176,99,67,59,168,88,164,627,414,245,565,576,447,328,580,663,320,300,595,251,325,619,357,510,280,245,476
398,333,175,199,172,112,225,155,188,600,457,258,570,566,456,395,288,691,388,437,616,280,277,622,329,558,369,345,477
402,343,172,102,54,45,176,90,165,573,420,254,581,456,489,369,320,700,333,275,671,279,730,546,365,382,270,222,479
505,393,188,203,162,129,183,170,174,640,483,223,577,538,546,411,370,656,309,340,705,474,799,559,428,444,304,257,481
177,149,175,57,35,26,201,50,168,480,523,228,531,459,504,287,275,616,277,306,686,225,283,617,379,431,290,218,490
494,316,229,187,126,85,217,137,199,631,521,202,670,536,553,404,471,639,306,392,711,611,781,562,430,352,352,208,520
494,402,180,103,59,48,181,90,169,665,445,249,585,567,515,363,437,704,316,411,662,253,279,662,400,567,284,227,526
552,436,185,112,56,38,213,91,181,529,441,245,609,514,457,398,318,636,310,311,691,459,640,541,386,310,293,234,531
498,368,198,129,61,42,214,99,191,702,501,252,618,621,566,343,387,613,260,473,724,555,829,91,448,405,355,201,535
441,358,181,178,126,107,173,152,171,703,453,325,615,649,581,438,324,647,319,338,715,626,852,448,442,530,353,267,536
331,288,168,39,19,17,163,35,159,558,550,243,424,417,522,266,265,543,295,515,682,240,283,532,347,455,319,524,548
463,357,190,130,63,47,199,107,178,709,551,287,601,658,515,346,249,661,266,342,727,650,526,549,411,415,403,252,578
396,301,193,173,113,81,206,126,200,565,517,275,716,506,485,499,247,676,364,371,660,247,313,626,495,546,363,269,606
455,377,177,124,79,62,187,104,173,618,472,230,601,565,526,376,348,675,315,321,718,553,663,607,424,465,317,214,618
480,386,182,189,144,101,209,141,196,650,551,304,665,567,420,509,282,662,315,554,642,228,290,610,465,535,396,322,643
448,349,188,132,81,61,195,109,177,610,491,240,591,535,507,427,297,637,316,290,684,600,787,409,438,383,319,226,665
299,226,194,212,129,100,190,174,179,653,542,249,603,551,527,417,383,672,342,287,720,618,677,639,490,478,361,239,671
455,352,189,108,73,61,175,91,172,629,393,254,569,527,435,378,325,681,358,284,596,248,294,642,456,607,227,271,681
366,304,176,126,66,56,172,112,164,613,443,254,566,528,546,402,419,615,289,354,716,650,875,400,394,490,276,184,701
452,382,174,105,65,52,184,90,170,649,492,260,574,623,504,374,332,597,279,296,661,504,782,502,412,363,325,223,715
375,309,178,102,59,47,182,89,167,661,416,279,576,544,483,349,335,686,347,366,609,262,269,645,431,581,272,243,719
441,369,175,152,120,104,170,135,165,643,413,268,590,550,457,336,305,696,427,515,623,280,302,660,398,478,271,288,735
682,494,202,172,119,74,235,125,203,674,428,259,574,560,490,337,300,691,360,360,642,263,301,642,405,618,331,276,751
577,469,180,133,83,62,198,107,181,648,523,287,623,571,439,449,289,684,339,463,681,256,292,563,385,573,405,285,757
704,527,196,128,76,60,184,109,171,632,450,217,383,605,508,301,360,675,284,339,699,475,678,585,340,496,330,240,764
543,412,193,192,142,79,265,116,242,612,441,230,575,497,572,400,280,711,344,333,701,601,700,156,386,373,291,256,773
380,338,165,183,129,82,231,141,190,662,437,263,579,653,544,432,538,638,320,530,699,596,728,388,426,343,316,460,774
569,455,183,91,51,41,181,78,172,576,413,229,648,591,505,327,344,631,320,311,672,479,715,533,344,469,262,225,777
450,345,191,146,79,64,181,125,171,634,453,231,577,581,519,362,302,669,352,342,716,528,628,525,404,373,283,210,796
467,390,175,144,106,81,192,116,181,577,464,252,592,454,434,383,310,689,315,495,573,263,287,450,411,338,242,281,798
334,261,187,149,81,61,196,121,180,619,457,230,598,522,518,336,589,670,289,312,698,522,783,160,458,498,291,249,805
217,181,175,145,99,83,175,125,169,641,417,247,625,561,463,364,290,656,360,392,540,278,284,591,395,544,285,271,825
479,389,180,104,56,46,179,91,166,656,434,270,568,554,496,351,343,683,357,303,649,249,311,626,420,585,281,256,825
338,266,186,148,88,56,229,113,191,550,413,239,515,504,523,350,328,657,300,297,690,608,756,427,406,362,297,224,856
481,407,173,134,93,66,207,111,177,679,443,239,569,559,502,383,280,726,288,643,611,277,293,629,421,520,303,222,865
567,466,178,104,54,44,181,87,174,653,414,288,567,576,464,329,309,693,355,343,632,282,288,632,329,606,301,270,868
505,415,178,116,69,57,178,102,166,610,403,301,577,554,480,359,282,648,332,518,608,252,298,619,432,579,389,259,900
686,538,187,115,66,51,191,96,175,671,455,296,615,616,501,348,305,729,454,326,624,246,290,641,437,633,363,267,905
610,476,188,118,56,43,187,99,174,653,470,270,615,567,529,327,319,696,342,352,708,528,797,472,389,441,307,227,915
595,451,193,184,109,87,184,157,171,671,473,235,358,617,534,251,367,651,324,330,700,604,743,392,317,364,306,230,947
495,394,184,126,69,56,180,108,170,601,415,299,566,455,488,408,316,669,340,383,662,232,336,208,413,306,302,255,948
