"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-APC-A :: OVA-Tet","Comp-APC-Fire 750-A :: CD3","Comp-APC-Fire 810-A :: CD4","Comp-Alexa Fluor 488-A :: TCF1","Comp-Alexa Fluor 532-A :: CD8","Comp-Alexa Fluor 700-A :: CD101","Comp-BV421-A :: Tbet","Comp-BV510-A :: CD62L","Comp-BV570-A :: CD44","Comp-BV605-A :: CD45.1","Comp-BV650-A :: CX3CR1","Comp-BV711-A :: CD45.2","Comp-BV785-A :: CD69","Comp-CellTrace Violet-A :: CTV","Comp-PE-A :: Ly108","Comp-PE-Cy7-A :: EOMES","Comp-PE-Dazzle594-A :: PD1","Comp-PerCP-eFluor 710-A :: TIM3","Comp-Zombie NIR-A :: Viability","Time"
264,185,209,135,87,66,193,110,179,647,460,269,566,630,550,378,463,710,362,289,698,570,600,535,431,339,294,222,42
473,396,175,108,64,51,183,93,169,322,400,248,567,373,457,365,299,681,344,293,662,230,293,209,372,441,274,265,43
591,446,194,145,87,68,187,119,179,659,484,228,248,637,541,195,344,567,323,364,706,499,817,427,360,506,293,223,48
433,354,179,135,91,79,169,120,165,608,419,265,546,539,504,372,275,645,296,350,686,575,628,291,402,316,302,236,57
571,461,182,116,75,60,184,99,171,650,452,262,320,621,551,227,558,700,350,305,686,614,770,561,339,440,341,251,69
294,221,195,167,144,136,155,151,161,601,471,264,598,577,524,373,288,662,351,329,690,568,744,289,444,460,289,274,78
729,531,201,152,97,69,207,117,190,702,441,254,599,618,504,340,321,707,380,435,663,230,335,650,427,612,409,228,86
412,323,187,139,76,61,184,119,171,613,511,214,591,548,508,472,434,674,313,304,679,522,676,598,403,361,294,200,114
437,343,187,164,105,87,177,143,168,513,506,236,626,491,512,447,363,677,360,313,723,619,711,634,469,413,323,198,115
434,323,197,128,74,56,192,106,177,637,434,248,570,541,473,378,390,673,392,371,702,552,666,627,410,378,258,249,120
360,308,171,113,63,52,178,99,167,420,486,250,563,422,494,397,282,517,291,310,693,308,558,245,461,344,310,235,178
504,423,174,205,140,117,175,179,168,620,449,271,605,574,494,431,271,704,335,316,691,558,509,643,457,389,317,272,193
569,430,194,195,168,150,164,169,169,589,429,274,325,526,544,270,335,712,375,353,707,586,756,309,341,348,270,322,198
375,322,170,121,56,49,170,110,160,575,435,250,563,537,488,386,306,636,328,290,692,601,560,428,395,371,274,216,207
515,419,180,168,123,91,199,132,186,560,501,250,599,423,503,448,584,738,363,342,702,568,533,179,429,307,307,290,215
482,394,179,168,119,105,166,152,162,605,427,262,527,474,435,382,291,682,368,559,570,261,294,619,375,553,284,293,226
325,269,177,125,60,48,185,108,169,496,564,252,683,484,527,419,255,654,315,390,712,236,267,591,425,545,387,214,229
827,543,223,147,96,63,222,109,197,646,459,271,322,575,530,298,473,687,353,314,714,540,647,501,367,350,364,218,233
573,470,179,103,58,48,176,91,167,609,450,244,284,527,519,257,406,681,373,318,671,507,781,593,308,425,257,223,252
479,415,169,81,55,41,194,70,169,621,477,258,651,572,443,343,555,656,300,283,637,268,327,637,386,465,305,263,269
461,380,178,119,65,51,186,105,166,656,399,264,547,566,456,335,519,685,354,281,618,262,306,688,392,579,293,271,279
569,443,188,163,113,98,169,142,168,713,507,259,605,681,494,383,315,736,478,277,646,401,586,758,377,602,400,276,283
368,308,175,108,64,47,200,90,176,654,473,251,574,621,528,329,325,653,293,373,682,524,592,287,408,404,331,209,287
624,450,203,146,86,62,202,117,183,673,448,252,304,617,543,254,633,707,310,328,710,620,780,572,424,356,322,214,296
448,352,187,190,146,80,268,132,210,716,427,254,535,611,544,397,273,679,344,412,695,421,400,173,404,535,314,315,304
479,388,181,108,60,45,193,89,177,656,427,253,391,548,519,308,295,667,323,326,697,496,626,611,324,372,335,231,323
477,405,172,135,103,84,181,111,179,603,423,248,614,581,573,361,421,642,325,315,707,593,801,579,423,496,315,258,327
435,346,184,136,76,62,180,117,170,655,467,236,615,605,551,451,284,719,383,354,710,576,649,506,423,428,307,202,337
413,345,175,140,129,103,184,120,171,648,441,261,612,580,478,340,519,691,374,406,610,285,309,674,391,603,307,307,337
511,390,192,148,77,52,217,115,188,642,497,229,527,569,563,404,501,676,307,322,702,585,808,532,417,404,339,227,359
478,376,186,183,188,142,194,147,183,671,420,260,571,550,500,408,530,691,370,386,604,245,291,660,391,579,323,324,362
544,453,176,121,71,57,181,105,169,703,503,259,559,648,553,374,594,707,282,370,698,613,788,663,416,418,274,247,362
716,495,212,138,76,55,203,109,185,693,455,296,402,667,492,318,407,721,498,297,660,304,355,730,340,664,310,288,363
541,461,172,151,126,90,205,117,188,667,503,283,535,622,569,339,340,671,316,361,711,595,772,521,370,446,369,274,364
396,318,182,127,68,55,181,110,170,647,467,226,582,583,508,386,475,688,389,408,679,554,734,525,436,454,308,231,373
365,292,183,126,80,61,192,103,178,653,521,225,550,603,554,422,460,641,293,313,710,598,706,361,384,389,338,206,389
504,387,191,121,64,47,201,100,177,522,427,221,570,454,488,362,398,590,284,307,677,601,803,434,337,330,250,233,393
