"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-APC-A :: OVA-Tet","Comp-APC-Fire 750-A :: CD3","Comp-APC-Fire 810-A :: CD4","Comp-Alexa Fluor 488-A :: TCF1","Comp-Alexa Fluor 532-A :: CD8","Comp-Alexa Fluor 700-A :: CD101","Comp-BV421-A :: Tbet","Comp-BV510-A :: CD62L","Comp-BV570-A :: CD44","Comp-BV605-A :: CD45.1","Comp-BV650-A :: CX3CR1","Comp-BV711-A :: CD45.2","Comp-BV785-A :: CD69","Comp-CellTrace Violet-A :: CTV","Comp-PE-A :: Ly108","Comp-PE-Cy7-A :: EOMES","Comp-PE-Dazzle594-A :: PD1","Comp-PerCP-eFluor 710-A :: TIM3","Comp-Zombie NIR-A :: Viability","Time"
565,404,205,168,88,65,198,139,178,700,483,393,590,639,486,313,316,629,517,363,661,243,328,659,407,615,480,270,0
209,147,208,203,107,78,201,169,176,705,555,352,671,655,523,446,310,735,432,303,684,253,334,687,428,628,408,199,5
367,274,196,166,92,74,183,141,172,644,578,361,707,620,492,500,286,717,402,490,704,264,292,629,441,541,394,205,6
248,195,186,192,109,91,176,173,162,635,545,385,707,590,463,570,456,702,469,281,690,347,315,709,392,592,375,222,7
430,357,176,89,46,36,183,78,166,687,508,367,700,635,443,366,329,715,459,293,645,358,310,724,394,582,428,258,13
331,252,192,129,85,67,184,112,168,717,478,366,605,665,497,311,343,723,481,314,652,265,316,719,387,658,323,267,17
712,512,204,159,84,65,191,129,180,710,501,299,408,673,491,247,340,697,467,310,694,380,545,740,357,631,285,233,18
307,233,193,106,50,36,203,89,174,682,521,391,602,619,461,320,307,670,522,314,600,287,295,668,415,644,334,250,24
205,168,179,89,52,45,171,82,159,674,511,319,609,588,486,300,297,626,425,342,616,302,322,616,358,540,307,272,24
387,291,195,157,81,60,196,128,179,711,478,282,500,632,511,282,454,675,469,264,698,530,718,751,496,523,292,211,28
