"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-APC-A :: OVA-Tet","Comp-APC-Fire 750-A :: CD3","Comp-APC-Fire 810-A :: CD4","Comp-Alexa Fluor 488-A :: TCF1","Comp-Alexa Fluor 532-A :: CD8","Comp-Alexa Fluor 700-A :: CD101","Comp-BV421-A :: Tbet","Comp-BV510-A :: CD62L","Comp-BV570-A :: CD44","Comp-BV605-A :: CD45.1","Comp-BV650-A :: CX3CR1","Comp-BV711-A :: CD45.2","Comp-BV785-A :: CD69","Comp-CellTrace Violet-A :: CTV","Comp-PE-A :: Ly108","Comp-PE-Cy7-A :: EOMES","Comp-PE-Dazzle594-A :: PD1","Comp-PerCP-eFluor 710-A :: TIM3","Comp-Zombie NIR-A :: Viability","Time"
496,401,181,139,79,65,178,124,164,694,511,380,620,578,473,335,505,676,455,283,649,257,277,678,368,567,335,282,1023
369,272,198,155,80,54,217,120,189,578,514,386,675,567,406,545,387,694,496,380,610,284,282,639,402,611,319,260,1023
332,253,193,80,41,31,196,66,176,592,552,290,664,519,316,507,288,662,384,456,625,245,284,591,405,533,285,268,1023
278,218,187,91,47,35,195,74,178,598,588,292,524,499,417,237,268,584,330,461,722,228,283,542,385,430,271,314,1023
344,237,213,138,65,51,189,117,173,622,522,313,541,555,405,544,319,705,382,316,640,240,274,625,392,607,332,252,1023
353,267,194,113,62,45,201,92,180,658,436,318,394,580,429,275,289,707,446,530,587,270,298,652,341,652,291,285,1023
461,378,179,111,59,47,182,97,168,609,493,241,580,579,412,275,577,652,383,302,701,281,664,574,328,503,317,222,1023
474,410,170,86,49,41,175,78,161,584,447,329,257,563,332,282,348,653,462,279,581,277,287,656,321,510,272,272,1023
483,416,170,97,51,44,168,90,157,619,459,314,516,543,346,283,356,662,410,297,599,276,286,658,326,530,342,268,1023
532,444,176,140,80,67,174,126,162,615,445,297,335,491,413,280,293,684,390,313,589,268,291,612,358,567,267,254,1023
490,406,177,111,59,47,185,95,170,657,439,284,311,585,379,264,313,694,467,436,586,260,290,626,329,584,377,257,1023
479,418,168,100,61,54,168,91,160,557,412,380,398,567,414,272,269,681,401,305,652,563,276,638,325,603,274,288,1023
476,375,186,123,70,53,195,105,172,594,442,262,441,443,471,289,293,651,373,264,690,575,709,581,383,339,278,215,1023
447,373,175,112,60,46,194,95,172,640,452,394,336,570,398,269,528,647,446,329,621,302,308,653,355,500,280,278,1023
671,438,225,156,77,54,209,122,188,675,468,374,556,615,419,295,323,661,441,454,641,245,290,648,367,602,244,256,1023
573,451,186,144,89,72,181,124,170,626,428,327,334,570,423,275,316,720,449,250,623,290,294,668,326,562,200,256,1023
529,440,176,110,60,51,172,101,159,653,444,270,318,506,415,300,425,681,433,287,561,274,304,676,307,561,248,252,1023
579,441,192,204,126,91,203,169,176,700,499,361,342,605,464,267,368,696,491,331,605,275,290,634,327,598,365,277,1023
469,372,185,119,72,55,192,101,173,685,405,390,566,587,366,324,385,651,460,309,587,284,327,668,340,532,298,296,1023
563,449,184,164,91,70,190,138,173,658,449,350,318,562,425,258,345,680,456,317,646,270,283,654,314,558,301,256,1023
396,327,178,148,80,66,179,133,163,662,529,246,423,486,444,281,292,709,402,289,665,304,720,553,346,439,281,232,1023
497,412,177,111,59,48,178,97,167,641,512,351,329,577,429,289,325,680,426,462,633,254,289,633,326,571,383,274,1023
515,386,195,149,93,66,207,116,188,644,563,338,600,565,378,518,296,658,423,640,663,265,300,624,395,591,352,259,1023
475,403,173,108,62,50,182,96,164,659,439,308,494,576,433,309,274,667,406,300,583,274,297,597,345,605,369,268,1023
388,306,186,106,63,47,194,89,173,644,465,391,487,570,419,324,298,671,463,462,581,269,276,607,339,614,319,297,1023
237,169,205,138,85,63,200,116,174,648,586,308,712,560,513,490,289,626,398,276,689,234,283,644,456,535,336,216,1023
547,437,183,181,109,88,183,159,167,689,467,329,352,548,474,289,393,688,527,516,607,283,286,633,339,600,429,278,1023
506,406,182,97,51,41,183,83,170,645,446,291,542,501,447,281,597,660,370,374,640,256,280,658,426,514,242,238,1023
255,193,193,156,91,70,191,135,169,624,534,320,621,560,463,507,282,661,425,305,641,261,299,669,358,577,354,233,1023
483,409,173,90,50,42,177,82,162,607,448,349,564,561,449,298,355,653,454,294,619,269,302,651,356,530,265,266,1023
426,367,170,99,53,44,174,89,162,592,437,346,519,502,426,318,293,641,419,376,562,257,286,654,368,563,312,245,1023
550,447,180,116,73,62,174,102,166,666,522,321,349,558,485,276,316,673,458,325,612,292,279,655,319,616,327,215,1023
334,247,199,180,89,70,188,157,167,571,520,294,583,555,442,484,327,671,352,426,644,245,283,619,389,556,310,254,1023
