"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-APC-A :: OVA-Tet","Comp-APC-Fire 750-A :: CD3","Comp-APC-Fire 810-A :: CD4","Comp-Alexa Fluor 488-A :: TCF1","Comp-Alexa Fluor 532-A :: CD8","Comp-Alexa Fluor 700-A :: CD101","Comp-BV421-A :: Tbet","Comp-BV510-A :: CD62L","Comp-BV570-A :: CD44","Comp-BV605-A :: CD45.1","Comp-BV650-A :: CX3CR1","Comp-BV711-A :: CD45.2","Comp-BV785-A :: CD69","Comp-CellTrace Violet-A :: CTV","Comp-PE-A :: Ly108","Comp-PE-Cy7-A :: EOMES","Comp-PE-Dazzle594-A :: PD1","Comp-PerCP-eFluor 710-A :: TIM3","Comp-Zombie NIR-A :: Viability","Time"
622,478,191,195,105,80,193,161,177,632,462,261,323,548,428,277,330,662,416,304,603,257,286,648,357,561,280,247,35
465,387,176,129,65,55,175,114,167,653,500,270,525,562,410,328,306,678,365,405,647,234,284,604,351,590,356,286,45
522,427,179,137,80,63,186,110,181,539,403,264,373,545,429,321,303,670,342,605,607,299,305,475,324,337,385,241,68
485,417,170,113,58,49,174,101,163,494,412,299,342,500,406,314,329,675,360,304,564,296,302,420,327,438,238,254,168
486,401,178,134,75,61,178,117,166,618,418,260,321,537,519,307,313,657,439,491,615,260,273,598,305,553,405,241,171
350,304,169,95,48,41,169,87,160,556,420,289,454,439,464,334,315,590,333,299,633,257,735,542,338,295,259,235,188
598,478,183,163,91,54,246,108,219,528,461,223,375,480,469,342,682,706,397,277,668,237,746,454,398,297,296,223,207
456,384,174,104,63,54,172,93,164,510,408,335,285,480,432,278,296,664,371,468,611,265,292,271,328,376,340,253,214
553,470,172,113,74,59,184,98,169,553,489,304,338,483,417,312,310,690,481,609,607,277,276,473,326,443,444,277,218
551,417,194,150,82,61,198,120,183,623,524,377,620,618,461,407,411,708,428,331,633,251,317,657,428,561,376,270,231
537,450,175,136,87,75,170,122,162,405,450,276,325,539,474,291,332,725,427,289,653,293,600,582,305,323,294,230,236
564,460,180,136,69,55,182,117,170,620,444,311,355,562,438,337,349,654,451,299,561,279,285,603,328,546,374,242,252
616,508,178,120,66,51,189,103,170,664,399,328,388,597,467,355,345,708,424,391,636,273,302,663,373,549,350,238,259
589,480,180,118,67,53,187,100,172,634,409,291,303,568,430,312,362,718,395,360,604,271,294,587,340,298,308,280,280
414,337,180,113,56,45,183,100,166,573,546,412,678,510,432,532,293,625,427,414,660,228,283,546,391,494,276,242,291
604,472,187,178,87,58,220,135,194,655,465,271,399,568,484,322,337,659,426,366,606,283,296,638,371,507,357,233,296
548,433,185,134,68,45,223,100,196,650,474,315,426,554,472,330,324,672,389,359,605,261,296,637,383,554,407,259,297
488,408,175,123,70,53,193,96,188,539,419,262,366,493,462,321,438,671,333,286,642,276,667,531,351,300,286,250,373
507,388,191,149,76,54,208,117,186,609,446,318,351,522,438,301,428,714,356,315,617,246,295,559,380,366,275,251,406
345,274,185,101,59,48,180,88,168,472,507,221,585,459,495,304,301,582,287,326,636,279,287,576,351,421,273,214,416
569,475,176,126,79,64,181,110,167,551,425,281,353,455,382,305,333,692,387,619,595,299,282,393,326,302,346,248,430
571,461,181,157,81,66,178,137,167,583,506,320,327,423,480,301,312,681,395,335,666,257,293,348,348,359,496,252,433
456,377,177,87,42,34,183,76,168,596,520,242,470,513,463,328,307,659,368,430,636,277,276,461,365,322,328,214,434
623,472,193,194,95,63,220,140,202,610,432,266,433,514,451,337,352,705,472,390,598,275,290,631,364,588,377,250,439
